chr	start	end	B06_VOA1056_H3K27Ac_hg37	B07_OAW	
chr1	540685	540967	1.000000	0.000000
chr1	713133	715720	0.656359	1.000000
chr1	713165	714863	1.000000	1.000000
chr1	762012	763360	0.897626	1.000000
chr1	762029	763239	1.000000	1.000000
chr1	839270	840835	0.806390	1.000000
chr1	839448	840710	1.000000	1.000000
chr1	845597	846097	1.000000	0.000000
chr1	858692	860973	0.000000	1.000000
chr1	893468	896994	0.504254	1.000000
chr1	893942	894623	1.000000	1.000000
chr1	895576	896673	1.000000	1.000000
chr1	900898	903044	0.803355	1.000000
chr1	901127	902851	1.000000	1.000000
chr1	910869	912146	0.000000	1.000000
chr1	933864	934656	1.000000	0.919192
chr1	933928	937858	0.768957	1.000000
chr1	935038	937332	1.000000	1.000000
chr1	940604	941434	1.000000	0.000000
chr1	947983	950537	0.469068	1.000000
chr1	948190	949388	1.000000	1.000000
chr1	953477	963750	0.618807	1.000000
chr1	954920	957929	1.000000	1.000000
chr1	958252	961307	1.000000	1.000000
chr1	962971	963264	1.000000	1.000000
chr1	968167	968489	1.000000	0.000000
chr1	975320	977676	0.153226	1.000000
chr1	975814	976175	1.000000	1.000000
chr1	992152	995927	0.343841	1.000000
chr1	993880	994109	1.000000	1.000000
chr1	994396	995465	1.000000	1.000000
chr1	997536	1000370	0.610797	1.000000
chr1	998510	1000241	1.000000	1.000000
chr1	1003687	1006448	0.382108	1.000000
chr1	1004259	1005314	1.000000	1.000000
chr1	1008121	1010589	0.268233	1.000000
chr1	1009207	1009869	1.000000	1.000000
chr1	1014403	1016010	1.000000	0.873678
chr1	1014606	1016201	0.880251	1.000000
chr1	1050318	1052524	0.551224	1.000000
chr1	1050724	1051529	1.000000	1.000000
chr1	1051957	1052368	1.000000	1.000000
chr1	1057744	1058135	1.000000	0.000000
chr1	1062028	1067161	0.000000	1.000000
chr1	1080131	1080428	1.000000	0.000000
chr1	1092823	1097444	0.301450	1.000000
chr1	1092935	1094328	1.000000	1.000000
chr1	1097551	1104480	0.720450	1.000000
chr1	1098174	1103166	1.000000	1.000000
chr1	1136110	1137349	0.845036	1.000000
chr1	1136139	1137186	1.000000	1.000000
chr1	1140045	1142930	0.000000	1.000000
chr1	1143183	1144660	1.000000	0.000000
chr1	1164835	1169038	0.318106	1.000000
chr1	1166518	1167462	1.000000	1.000000
chr1	1167718	1168111	1.000000	1.000000
chr1	1172320	1173463	1.000000	0.000000
chr1	1181737	1182409	1.000000	0.436012
chr1	1182116	1184493	0.123265	1.000000
chr1	1184816	1185625	0.000000	1.000000
chr1	1185730	1187009	1.000000	0.861611
chr1	1185907	1187096	0.926829	1.000000
chr1	1199589	1200309	1.000000	0.000000
chr1	1200459	1201856	1.000000	0.000000
chr1	1205609	1209955	1.000000	0.884031
chr1	1206113	1210673	0.842544	1.000000
chr1	1216653	1218188	1.000000	0.000000
chr1	1225975	1226769	1.000000	0.000000
chr1	1226911	1227139	1.000000	0.000000
chr1	1228440	1229960	0.000000	1.000000
chr1	1240088	1241991	0.694167	1.000000
chr1	1240234	1241555	1.000000	1.000000
chr1	1242195	1246274	0.545477	1.000000
chr1	1242629	1244854	1.000000	1.000000
chr1	1251342	1254739	0.088902	1.000000
chr1	1253251	1253553	1.000000	1.000000
chr1	1259455	1261532	1.000000	0.993741
chr1	1259468	1261748	0.905263	1.000000
chr1	1278307	1285544	0.523283	1.000000
chr1	1279181	1280230	1.000000	1.000000
chr1	1280430	1281559	1.000000	1.000000
chr1	1283569	1284702	1.000000	1.000000
chr1	1284927	1285403	1.000000	1.000000
chr1	1290331	1291287	0.576360	1.000000
chr1	1290645	1291196	1.000000	1.000000
chr1	1295130	1297005	1.000000	0.000000
chr1	1309315	1312522	0.696913	1.000000
chr1	1309504	1311739	1.000000	1.000000
chr1	1332470	1338942	0.309023	1.000000
chr1	1334003	1336003	1.000000	1.000000
chr1	1341338	1343818	0.741935	1.000000
chr1	1341785	1343625	1.000000	1.000000
chr1	1362851	1363498	0.615147	1.000000
chr1	1362960	1363358	1.000000	1.000000
chr1	1365235	1374593	0.314811	1.000000
chr1	1365361	1366799	1.000000	1.000000
chr1	1368828	1370336	1.000000	1.000000
chr1	1397086	1398381	1.000000	0.000000
chr1	1406076	1409425	0.532398	1.000000
chr1	1406482	1408265	1.000000	1.000000
chr1	1440562	1441010	1.000000	0.000000
chr1	1441242	1441520	1.000000	0.000000
chr1	1446351	1448663	0.894464	1.000000
chr1	1446500	1448568	1.000000	1.000000
chr1	1475010	1476689	1.000000	0.000000
chr1	1489846	1490308	1.000000	0.000000
chr1	1490522	1490849	1.000000	0.000000
chr1	1508353	1511558	0.573479	1.000000
chr1	1509277	1511115	1.000000	1.000000
chr1	1534607	1536339	0.175520	1.000000
chr1	1535608	1535912	1.000000	1.000000
chr1	1549300	1552678	0.748372	1.000000
chr1	1549523	1552051	1.000000	1.000000
chr1	1567407	1567768	1.000000	0.000000
chr1	1589411	1591720	0.554353	1.000000
chr1	1590131	1591411	1.000000	1.000000
chr1	1609746	1610772	1.000000	0.000000
chr1	1612292	1615064	0.000000	1.000000
chr1	1615212	1619693	0.272484	1.000000
chr1	1617127	1617808	1.000000	1.000000
chr1	1617953	1618493	1.000000	1.000000
chr1	1623602	1624870	0.867508	1.000000
chr1	1623685	1624785	1.000000	1.000000
chr1	1625179	1625642	0.000000	1.000000
chr1	1654833	1657381	0.466641	1.000000
chr1	1655477	1656666	1.000000	1.000000
chr1	1671736	1672504	1.000000	0.000000
chr1	1672693	1673046	1.000000	0.000000
chr1	1676994	1678151	0.953328	1.000000
chr1	1676996	1678099	1.000000	1.000000
chr1	1686803	1697988	0.069557	1.000000
chr1	1689664	1690442	1.000000	1.000000
chr1	1705706	1712626	0.226734	1.000000
chr1	1709228	1710797	1.000000	1.000000
chr1	1713281	1714741	1.000000	0.000000
chr1	1760856	1761183	1.000000	0.000000
chr1	1764523	1765274	1.000000	0.000000
chr1	1765834	1766644	1.000000	0.000000
chr1	1790813	1791213	1.000000	0.000000
chr1	1813371	1816300	0.110277	1.000000
chr1	1814833	1815156	1.000000	1.000000
chr1	1819765	1824132	0.618960	1.000000
chr1	1820929	1823632	1.000000	1.000000
chr1	1838101	1841666	0.461431	1.000000
chr1	1838629	1838912	1.000000	1.000000
chr1	1839828	1840586	1.000000	1.000000
chr1	1840782	1841386	1.000000	1.000000
chr1	1848542	1851865	0.100813	1.000000
chr1	1850276	1850611	1.000000	1.000000
chr1	1891365	1892207	0.478622	1.000000
chr1	1891567	1891970	1.000000	1.000000
chr1	1907297	1909985	0.196429	1.000000
chr1	1908425	1908953	1.000000	1.000000
chr1	1927132	1928445	0.000000	1.000000
chr1	1934500	1935777	0.278778	1.000000
chr1	1935200	1935556	1.000000	1.000000
chr1	1950230	1951517	0.000000	1.000000
chr1	1975724	1976722	0.000000	1.000000
chr1	1980230	1983191	0.483620	1.000000
chr1	1981139	1981600	1.000000	1.000000
chr1	1981856	1982827	1.000000	1.000000
chr1	2063523	2064956	1.000000	0.000000
chr1	2065052	2065476	0.000000	1.000000
chr1	2066361	2066908	1.000000	0.000000
chr1	2067101	2067570	1.000000	0.000000
chr1	2071714	2072234	1.000000	0.000000
chr1	2120571	2121000	1.000000	0.846154
chr1	2120637	2122006	0.886779	1.000000
chr1	2121155	2122079	1.000000	0.920996
chr1	2123834	2132402	0.181373	1.000000
chr1	2125502	2127056	1.000000	1.000000
chr1	2134917	2136350	0.234473	1.000000
chr1	2135913	2136249	1.000000	1.000000
chr1	2136667	2146569	0.287316	1.000000
chr1	2136774	2137211	1.000000	1.000000
chr1	2143725	2146133	1.000000	1.000000
chr1	2154331	2164165	0.413362	1.000000
chr1	2158167	2159155	1.000000	1.000000
chr1	2160171	2162064	1.000000	1.000000
chr1	2162227	2163411	1.000000	1.000000
chr1	2164545	2168020	0.438561	1.000000
chr1	2165332	2166038	1.000000	1.000000
chr1	2166225	2167043	1.000000	1.000000
chr1	2171130	2172883	1.000000	0.000000
chr1	2177007	2177593	1.000000	0.000000
chr1	2177752	2179339	1.000000	0.000000
chr1	2179523	2179736	1.000000	0.000000
chr1	2186436	2188156	1.000000	0.000000
chr1	2204206	2208621	0.000000	1.000000
chr1	2209170	2212095	0.561709	1.000000
chr1	2209710	2210277	1.000000	1.000000
chr1	2210426	2211502	1.000000	1.000000
chr1	2221065	2224964	1.000000	0.000000
chr1	2225145	2225438	1.000000	0.000000
chr1	2225648	2226582	1.000000	0.000000
chr1	2242301	2248618	0.520342	1.000000
chr1	2242550	2243617	1.000000	1.000000
chr1	2244349	2244585	1.000000	1.000000
chr1	2245318	2247095	1.000000	1.000000
chr1	2247653	2247860	1.000000	1.000000
chr1	2252185	2254580	0.660960	1.000000
chr1	2252997	2254645	1.000000	0.960558
chr1	2266183	2267271	1.000000	0.000000
chr1	2321150	2325427	0.590835	1.000000
chr1	2321968	2324495	1.000000	1.000000
chr1	2342719	2346430	0.518189	1.000000
chr1	2343165	2345088	1.000000	1.000000
chr1	2382606	2383339	1.000000	0.000000
chr1	2383492	2384685	1.000000	0.000000
chr1	2411155	2414559	0.000000	1.000000
chr1	2424784	2428793	0.000000	1.000000
chr1	2456635	2459268	0.439043	1.000000
chr1	2457097	2457688	1.000000	1.000000
chr1	2457833	2458398	1.000000	1.000000
chr1	2462037	2467235	0.041939	1.000000
chr1	2466871	2467089	1.000000	1.000000
chr1	2474531	2482319	0.336287	1.000000
chr1	2477797	2478415	1.000000	1.000000
